precision,recall,f1-score,support,accuracy,roc,category,class,model_name
0.5652173913043478,0.7089013632718525,0.6289576663109214,1247,,,related,0,RF_cv_MLSMOTE
0.9003294892915981,0.8282394544076787,0.8627812129982897,3959,,,related,1,RF_cv_MLSMOTE
0.8200596494548518,0.7996542451018056,0.8067731525451303,5206,0.7996542451018056,0.7685704088397655,related,weighted avg,RF_cv_MLSMOTE
0.9382600561272217,0.9321561338289963,0.9351981351981353,4304,,,request,0,RF_cv_MLSMOTE
0.6860215053763441,0.7073170731707317,0.6965065502183406,902,,,request,1,RF_cv_MLSMOTE
0.894556795893397,0.8932001536688436,0.8938420442162346,5206,0.8932001536688436,0.819736603499864,request,weighted avg,RF_cv_MLSMOTE
0.995197848636189,1.0,0.997593145277751,5181,,,offer,0,RF_cv_MLSMOTE
0.0,0.0,0.0,25,,,offer,1,RF_cv_MLSMOTE
0.9904187579300989,0.995197848636189,0.9928025519946269,5206,0.995197848636189,0.5,offer,weighted avg,RF_cv_MLSMOTE
0.8082595870206489,0.8085245901639344,0.8083920668742829,3050,,,aid_related,0,RF_cv_MLSMOTE
0.7290023201856148,0.7286641929499073,0.7288332173509626,2156,,,aid_related,1,RF_cv_MLSMOTE
0.7754361780125173,0.7754514022281982,0.7754437611554433,5206,0.7754514022281982,0.7685943915569209,aid_related,weighted avg,RF_cv_MLSMOTE
0.9368400079697151,0.9847120418848168,0.9601797018582807,4775,,,medical_help,0,RF_cv_MLSMOTE
0.6096256684491979,0.26450116009280744,0.36893203883495146,431,,,medical_help,1,RF_cv_MLSMOTE
0.9097502307255079,0.9250864387245485,0.9112308461604217,5206,0.9250864387245485,0.6246066009888122,medical_help,weighted avg,RF_cv_MLSMOTE
0.9599843841499122,0.9951436665317686,0.9772478887232985,4942,,,medical_products,0,RF_cv_MLSMOTE
0.7108433734939759,0.22348484848484848,0.3400576368876081,264,,,medical_products,1,RF_cv_MLSMOTE
0.9473502645161882,0.9560122935074914,0.9449355132940588,5206,0.9560122935074914,0.6093142575083085,medical_products,weighted avg,RF_cv_MLSMOTE
0.9741412582014666,0.9986152324431257,0.9862264335254469,5055,,,search_and_rescue,0,RF_cv_MLSMOTE
0.7083333333333334,0.11258278145695365,0.19428571428571428,151,,,search_and_rescue,1,RF_cv_MLSMOTE
0.9664315008724061,0.972915866308106,0.9632561975275216,5206,0.972915866308106,0.5555990069500397,search_and_rescue,weighted avg,RF_cv_MLSMOTE
0.9796349663784822,0.9998039215686274,0.9896166909267345,5100,,,security,0,RF_cv_MLSMOTE
0.0,0.0,0.0,106,,,security,1,RF_cv_MLSMOTE
0.9596884995255972,0.979446792162889,0.9694669849647226,5206,0.979446792162889,0.4999019607843137,security,weighted avg,RF_cv_MLSMOTE
0.9737456242707118,0.9952295766249255,0.9843703922146859,5031,,,military,0,RF_cv_MLSMOTE
0.625,0.22857142857142856,0.33472803347280333,175,,,military,1,RF_cv_MLSMOTE
0.9620225193442088,0.9694583173261622,0.962532625641534,5206,0.9694583173261622,0.6119005025981771,military,weighted avg,RF_cv_MLSMOTE
1.0,1.0,1.0,5206,,,child_alone,0,RF_cv_MLSMOTE
1.0,1.0,1.0,5206,1.0,,child_alone,weighted avg,RF_cv_MLSMOTE
0.974928658785161,0.983751542575072,0.9793202293202292,4862,,,water,0,RF_cv_MLSMOTE
0.7366666666666667,0.6424418604651163,0.6863354037267081,344,,,water,1,RF_cv_MLSMOTE
0.9591848775157099,0.9611986169804072,0.9599604943981833,5206,0.9611986169804072,0.8130967015200942,water,weighted avg,RF_cv_MLSMOTE
0.9684937419076391,0.9714285714285714,0.9699589366760321,4620,,,food,0,RF_cv_MLSMOTE
0.7692307692307693,0.7508532423208191,0.7599309153713298,586,,,food,1,RF_cv_MLSMOTE
0.9460642178990631,0.9466000768344218,0.9463176726567168,5206,0.9466000768344218,0.8611409068746954,food,weighted avg,RF_cv_MLSMOTE
0.9529387587340732,0.9826234371688917,0.9675534689619195,4719,,,shelter,0,RF_cv_MLSMOTE
0.7588235294117647,0.5297741273100616,0.6239419588875453,487,,,shelter,1,RF_cv_MLSMOTE
0.934780073240419,0.9402612370341913,0.9354100180579201,5206,0.9402612370341913,0.7561987822394766,shelter,weighted avg,RF_cv_MLSMOTE
0.989938080495356,0.9978544958065145,0.9938805245264692,5127,,,clothing,0,RF_cv_MLSMOTE
0.7105263157894737,0.34177215189873417,0.4615384615384615,79,,,clothing,1,RF_cv_MLSMOTE
0.9856980633206028,0.9878985785631963,0.9858023410888871,5206,0.9878985785631963,0.6698133238526244,clothing,weighted avg,RF_cv_MLSMOTE
0.9774174869716271,0.9978325123152709,0.9875195007800313,5075,,,money,0,RF_cv_MLSMOTE
0.56,0.10687022900763359,0.1794871794871795,131,,,money,1,RF_cv_MLSMOTE
0.9669138967308889,0.9754129850172878,0.9671867627682441,5206,0.9754129850172878,0.5523513706614522,money,weighted avg,RF_cv_MLSMOTE
0.9896253602305476,1.0,0.9947856315179606,5151,,,missing_people,0,RF_cv_MLSMOTE
1.0,0.01818181818181818,0.03571428571428572,55,,,missing_people,1,RF_cv_MLSMOTE
0.989734965529687,0.9896273530541683,0.9846532988212257,5206,0.9896273530541683,0.509090909090909,missing_people,weighted avg,RF_cv_MLSMOTE
0.9732868757259001,0.9964328180737217,0.9847238542890717,5046,,,refugees,0,RF_cv_MLSMOTE
0.55,0.1375,0.22000000000000003,160,,,refugees,1,RF_cv_MLSMOTE
